site_id,site_latitude,site_longitude
site_135,0.305629,32.516433
site_26,0.317725,32.592509
site_29,0.311979,32.620263
site_35,0.365239,32.752781
site_36,0.355539,32.673375
site_39,0.290822,32.553698
site_43,0.284617,32.588796
site_44,0.339069,32.598046
site_45,0.340256,32.550518
site_46,0.30249,32.617487
site_47,0.351354,32.595478
site_48,0.232475,32.567848
site_49,0.28349,32.604968
site_51,0.29777,32.596897
site_52,0.218549,32.622078
site_53,0.272212,32.561922
site_54,0.351927,32.572594
site_57,0.350213,32.5028
site_58,0.377917,32.532013
site_59,0.384137,32.643419
site_60,0.310792,32.654781
site_61,0.373072,32.623734
site_62,0.335559,32.572891
site_63,0.363843,32.533412
site_64,0.395426,32.627972
site_65,0.323826,32.57185
site_66,0.320056,32.571821
site_67,0.329076,32.634791
site_68,0.344839,32.638493
site_69,0.350681,32.704816
site_70,0.29031,32.508632
site_71,0.36148,32.644796
site_72,0.273051,32.586283
site_74,0.307465,32.607263
site_76,0.356146,32.588197
site_79,0.356989,32.613888
site_88,0.329264,32.566964
site_89,0.303437,32.59462
site_91,0.337095,32.610288
