method,window_days,k,deployability,r2,rmse,mae,n_eval
accepted_k4_baseline_reference,,4,accepted_reference,0.564,,,
accepted_k4_safety_reference,,4,accepted_reference,0.558,,,
full_history,0.0,6,non_deployable_upper_bound,0.5575020227875738,12.813467154555843,9.375500815909163,13944.0
geodata,60.0,6,zero_deploy,0.41590231100046504,14.579273137964023,10.377701633052006,11604.0
window,60.0,6,short_deploy,0.44626446207390313,14.195291880464366,10.41784499028679,11604.0
distance,60.0,6,short_deploy,0.11657981916388971,17.92985537360496,14.446111031307186,11604.0
soft,60.0,6,short_deploy,0.2344550355161611,16.69085101277339,13.242815521279036,11604.0
classifier_window_geo,60.0,6,short_deploy,0.23314816346777822,16.705091525328395,13.258980711233914,11604.0
window,14.0,6,short_deploy,0.403920708571327,14.93952464215049,10.706229869244357,13398.0
window,30.0,6,short_deploy,0.5048824891476378,13.682953869545235,9.959889407501505,12774.0
window,45.0,6,short_deploy,0.505918470166725,13.587657254486922,9.7639245239952,12189.0
window,60.0,6,short_deploy,0.44626446207390313,14.195291880464366,10.41784499028679,11604.0
window,90.0,6,short_deploy,0.3802654596070819,14.745062444836321,10.849608796913378,10443.0
window,120.0,6,short_deploy,0.42687948257027764,13.799024611092012,10.096767057734212,9303.0
