site_id,dist_major_road_m,road_len_all_300m,road_len_all_1000m,road_len_major_500m,elevation_m
site_135,89.0,3524.9,31578.6,4171.1,1168.0
site_26,1.1,8839.2,59681.3,5706.1,1157.0
site_29,826.8,2417.8,29671.0,0.0,1176.0
site_35,197.8,3412.1,38541.9,1028.6,1187.0
site_36,166.0,3699.4,31483.8,946.5,1158.0
site_39,372.1,4842.3,56000.3,1728.9,1166.0
site_43,600.6,3745.5,48789.4,0.0,1190.0
site_44,10.3,5663.6,56919.9,2125.8,1183.0
site_45,431.4,3668.5,48719.0,512.6,1201.0
site_46,1548.7,4049.0,34833.0,0.0,1159.0
site_47,121.4,4927.7,58033.0,1723.6,1221.0
site_48,1571.4,3293.8,26780.9,0.0,1198.0
site_49,419.1,3474.5,47431.9,456.0,1145.0
site_51,144.9,5598.9,47074.0,981.5,1188.0
site_52,1919.5,525.4,6937.9,0.0,1138.0
site_53,375.5,3917.2,47756.5,1215.1,1172.0
site_54,60.3,5821.7,53455.9,5390.8,1171.0
site_57,796.8,2390.0,26585.3,0.0,1196.0
site_58,1269.3,3331.2,35911.1,0.0,1162.0
site_59,567.0,3660.5,40070.5,0.0,1182.0
site_60,100.4,2752.3,36084.6,1480.0,1176.0
site_61,82.8,4754.7,50451.2,2087.9,1199.0
site_62,25.3,5063.0,58821.6,3362.1,1188.0
site_63,419.3,3947.0,41412.5,524.0,1190.0
site_64,315.9,1971.9,35353.0,795.6,1147.0
site_65,246.6,5378.6,66685.1,2415.3,1178.0
site_66,225.5,6225.1,72530.4,2582.7,1164.0
site_67,284.7,4303.8,39783.7,991.7,1194.0
site_68,156.2,3781.6,40881.4,1153.9,1162.0
site_69,692.4,2325.5,18637.4,0.0,1229.0
site_70,310.2,3020.9,37503.0,1490.3,1189.0
site_71,288.8,4375.8,48451.8,1796.6,1224.0
site_72,196.3,5149.2,45559.6,937.7,1202.0
site_74,1186.5,3585.9,41265.5,0.0,1192.0
site_76,283.4,5003.4,48654.5,3178.2,1186.0
site_79,119.8,6101.8,54016.1,2452.6,1226.0
site_88,171.4,4479.2,56786.6,2845.4,1221.0
site_89,348.4,2220.6,45201.2,724.5,1155.0
site_91,508.2,3606.3,43035.5,0.0,1216.0
